iter	Passed	Remaining
402	7672	11366
403	7689	11343
404	7706	11321
405	7727	11306
406	7747	11288
407	7768	11272
408	7794	11263
409	7816	11248
410	7835	11229
411	7855	11210
412	7873	11191
413	7893	11172
414	7910	11151
415	7932	11135
416	7952	11118
417	7971	11098
418	7988	11076
419	8006	11056
420	8030	11044
421	8050	11026
422	8069	11006
423	8088	10987
424	8111	10973
425	8129	10954
426	8149	10935
427	8169	10917
428	8191	10903
429	8211	10885
430	8228	10863
431	8247	10843
432	8263	10820
433	8278	10796
434	8294	10773
435	8311	10751
436	8328	10730
437	8345	10708
438	8363	10687
439	8379	10664
440	8396	10643
441	8414	10622
442	8431	10601
443	8449	10580
444	8465	10557
445	8480	10533
446	8495	10510
447	8511	10487
448	8527	10464
449	8543	10442
450	8559	10419
451	8585	10408
452	8601	10386
453	8618	10365
454	8635	10343
455	8652	10321
456	8667	10298
457	8683	10275
458	8700	10254
459	8717	10233
460	8733	10211
461	8751	10190
462	8768	10170
463	8786	10150
464	8803	10128
465	8819	10106
466	8836	10085
467	8853	10063
468	8867	10040
469	8883	10017
470	8901	9997
471	8917	9975
472	8934	9954
473	8950	9932
474	8966	9910
475	8983	9888
476	8999	9867
477	9016	9846
478	9034	9826
479	9050	9805
480	9067	9783
481	9083	9762
482	9100	9741
483	9117	9720
484	9134	9699
485	9149	9677
486	9165	9654
487	9181	9633
488	9197	9611
489	9214	9590
490	9231	9569
491	9246	9546
492	9263	9526
493	9282	9508
494	9303	9491
495	9322	9472
496	9337	9450
497	9353	9429
498	9370	9408
499	9387	9387
500	9406	9368
501	9422	9347
502	9439	9327
503	9456	9306
504	9470	9283
505	9487	9262
506	9503	9241
507	9518	9218
508	9534	9196
509	9549	9175
510	9565	9154
511	9582	9133
512	9598	9112
513	9615	9091
514	9632	9070
515	9648	9050
516	9666	9030
517	9681	9008
518	9698	8988
519	9715	8967
520	9732	8948
521	9749	8927
522	9765	8906
523	9781	8885
524	9797	8864
525	9814	8843
526	9830	8822
527	9844	8800
528	9860	8778
529	9877	8759
530	9894	8738
531	9908	8716
532	9923	8694
533	9939	8673
534	9955	8653
535	9972	8632
536	9989	8612
537	10007	8593
538	10026	8575
539	10042	8554
540	10057	8533
541	10074	8513
542	10091	8493
543	10109	8473
544	10125	8453
545	10141	8432
546	10157	8412
547	10172	8390
548	10187	8368
549	10203	8348
550	10219	8327
551	10236	8307
552	10252	8287
553	10269	8267
554	10285	8246
555	10301	8226
556	10317	8206
557	10334	8185
558	10350	8165
559	10367	8146
560	10384	8126
561	10400	8106
562	10418	8086
563	10435	8067
564	10452	8047
565	10468	8026
566	10483	8005
567	10498	7984
568	10513	7963
569	10529	7943
570	10545	7922
571	10561	7902
572	10577	7882
573	10593	7861
574	10609	7841
575	10625	7821
576	10641	7801
577	10657	7781
578	10674	7761
579	10690	7741
580	10707	7721
581	10724	7702
582	10740	7682
583	10758	7663
584	10775	7644
585	10794	7625
586	10811	7606
587	10826	7585
588	10841	7565
589	10859	7546
590	10874	7525
591	10891	7506
592	10907	7486
593	10923	7466
594	10940	7446
595	10957	7427
596	10973	7407
597	10991	7388
598	11007	7368
599	11023	7348
600	11039	7329
601	11056	7309
602	11072	7289
603	11089	7270
604	11106	7251
605	11121	7230
606	11137	7211
607	11153	7191
608	11169	7171
609	11185	7151
610	11201	7131
611	11218	7112
612	11234	7092
613	11250	7072
614	11267	7053
615	11283	7033
616	11299	7014
617	11315	6994
618	11331	6974
619	11347	6955
620	11364	6935
621	11382	6917
622	11397	6897
623	11414	6878
624	11432	6859
625	11448	6839
626	11463	6819
627	11479	6799
628	11502	6784
629	11523	6767
630	11543	6750
631	11564	6733
632	11586	6717
633	11607	6700
634	11627	6683
635	11647	6666
636	11663	6646
637	11678	6626
638	11692	6605
639	11708	6585
640	11723	6566
641	11741	6547
642	11756	6527
643	11773	6508
644	11789	6488
645	11803	6468
646	11819	6448
647	11836	6429
648	11853	6410
649	11868	6390
650	11883	6370
651	11899	6351
652	11914	6331
653	11930	6311
654	11946	6292
655	11965	6274
656	11986	6257
657	12010	6242
658	12031	6225
659	12049	6207
660	12066	6188
661	12083	6169
662	12100	6150
663	12117	6131
664	12133	6112
665	12147	6092
666	12162	6072
667	12178	6052
668	12195	6033
669	12212	6015
670	12228	5995
671	12244	5976
672	12260	5957
673	12277	5938
674	12295	5920
675	12313	5901
676	12329	5882
677	12345	5863
678	12362	5844
679	12378	5825
680	12394	5806
681	12409	5786
682	12425	5766
683	12441	5747
684	12457	5728
685	12473	5709
686	12489	5690
687	12505	5671
688	12522	5652
689	12537	5633
690	12554	5613
691	12570	5594
692	12586	5575
693	12603	5557
694	12619	5537
695	12635	5518
696	12651	5499
697	12667	5480
698	12684	5462
699	12701	5443
700	12719	5425
701	12734	5405
702	12750	5386
703	12766	5367
704	12783	5348
705	12797	5329
706	12813	5310
707	12830	5291
708	12846	5272
709	12862	5253
710	12878	5234
711	12894	5215
712	12910	5196
713	12926	5177
714	12943	5159
715	12960	5140
716	12977	5122
717	12994	5103
718	13010	5084
719	13027	5066
720	13045	5048
721	13061	5029
722	13077	5010
723	13093	4991
724	13108	4972
725	13124	4953
726	13142	4935
727	13157	4916
728	13174	4897
729	13190	4878
730	13207	4860
731	13223	4841
732	13239	4822
733	13256	4804
734	13273	4785
735	13289	4766
736	13307	4748
737	13323	4730
738	13340	4711
739	13354	4692
740	13370	4673
741	13386	4654
742	13401	4635
743	13416	4616
744	13432	4597
745	13449	4579
746	13466	4560
747	13482	4542
748	13499	4523
749	13515	4505
750	13532	4486
751	13548	4468
752	13566	4450
753	13581	4431
754	13599	4413
755	13616	4394
756	13632	4375
757	13646	4356
758	13662	4338
759	13679	4319
760	13695	4301
761	13710	4282
762	13725	4263
763	13742	4244
764	13756	4225
765	13771	4206
766	13790	4189
767	13809	4171
768	13827	4153
769	13842	4134
770	13858	4116
771	13875	4097
772	13891	4079
773	13907	4060
774	13926	4043
775	13942	4024
776	13957	4005
777	13972	3987
778	13988	3968
779	14004	3949
780	14021	3931
781	14037	3913
782	14053	3894
783	14069	3876
784	14085	3857
785	14102	3839
786	14119	3821
787	14135	3802
788	14151	3784
789	14168	3766
790	14186	3748
791	14201	3729
792	14216	3711
793	14232	3692
794	14249	3674
795	14266	3656
796	14281	3637
797	14297	3619
798	14314	3600
799	14329	3582
800	14345	3564
801	14362	3545
802	14378	3527
803	14395	3509
804	14412	3491
805	14429	3473
806	14444	3454
807	14460	3436
808	14477	3418
809	14493	3399
810	14508	3381
811	14524	3362
812	14540	3344
813	14555	3326
814	14571	3307
815	14587	3289
816	14603	3271
817	14620	3252
818	14636	3234
819	14652	3216
820	14668	3198
821	14684	3179
822	14701	3161
823	14717	3143
824	14734	3125
825	14750	3107
826	14769	3089
827	14786	3071
828	14802	3053
829	14818	3035
830	14834	3016
831	14849	2998
832	14865	2980
833	14880	2961
834	14897	2943
835	14914	2925
836	14930	2907
837	14947	2889
838	14963	2871
839	14980	2853
840	14997	2835
841	15014	2817
842	15031	2799
843	15048	2781
844	15064	2763
845	15080	2745
846	15097	2727
847	15111	2708
848	15127	2690
849	15144	2672
850	15158	2654
851	15174	2636
852	15191	2617
853	15207	2599
854	15222	2581
855	15239	2563
856	15255	2545
857	15273	2527
858	15288	2509
859	15304	2491
860	15323	2473
861	15341	2456
862	15359	2438
863	15375	2420
864	15392	2402
865	15406	2383
866	15421	2365
867	15437	2347
868	15453	2329
869	15469	2311
870	15486	2293
871	15502	2275
872	15519	2257
873	15540	2240
874	15561	2223
875	15581	2205
876	15600	2187
877	15628	2171
878	15649	2154
879	15672	2137
880	15697	2120
881	15717	2102
882	15736	2085
883	15759	2068
884	15780	2050
885	15803	2033
886	15823	2015
887	15843	1998
888	15863	1980
889	15884	1963
890	15906	1945
891	15926	1928
892	15946	1910
893	15967	1893
894	15990	1875
895	16009	1858
896	16030	1840
897	16050	1823
898	16071	1805
899	16091	1787
900	16111	1770
901	16130	1752
902	16151	1735
903	16172	1717
904	16192	1699
905	16210	1681
906	16237	1664
907	16282	1649
908	16316	1633
909	16345	1616
910	16373	1599
911	16398	1582
912	16428	1565
913	16448	1547
914	16468	1529
915	16490	1512
916	16512	1494
917	16534	1476
918	16556	1459
919	16577	1441
920	16598	1423
921	16616	1405
922	16635	1387
923	16656	1370
924	16676	1352
925	16697	1334
926	16724	1317
927	16750	1299
928	16770	1281
929	16790	1263
930	16813	1246
931	16841	1228
932	16866	1211
933	16888	1193
934	16909	1175
935	16931	1157
936	16952	1139
937	16970	1121
938	16989	1103
939	17008	1085
940	17032	1067
941	17053	1050
942	17077	1032
943	17099	1014
944	17120	996
945	17143	978
946	17161	960
947	17181	942
948	17202	924
949	17223	906
950	17244	888
951	17265	870
952	17283	852
953	17303	834
954	17324	816
955	17345	798
956	17364	780
957	17385	762
958	17406	744
959	17426	726
960	17446	708
961	17466	689
962	17488	671
963	17510	653
964	17531	635
965	17552	617
966	17573	599
967	17594	581
968	17613	563
969	17632	545
970	17654	527
971	17675	509
972	17693	490
973	17714	472
974	17737	454
975	17758	436
976	17778	418
977	17799	400
978	17820	382
979	17842	364
980	17864	345
981	17883	327
982	17904	309
983	17921	291
984	17937	273
985	17953	254
986	17970	236
987	17987	218
988	18003	200
989	18019	182
990	18036	163
991	18055	145
992	18071	127
993	18086	109
994	18101	90
995	18117	72
996	18134	54
997	18150	36
998	18166	18
999	18183	0
